Image,Word,Writer
g06-026h-01-00.png,an,g06-026h-01
a01-049-01-02.png,opposition,a01-049-01
a05-053-04-02.png,a,a05-053-04
g06-031g-06-04.png,then,g06-031g-06
a02-012-03-03.png,negotiator,a02-012-03
b03-098-06-03.png,got,b03-098-06
c04-080-00-04.png,out,c04-080-00
f01-085-01-02.png,its,f01-085-01
r03-035-00-08.png,hundred,r03-035-00
a01-058-07-01.png,to,a01-058-07
g04-104-07-03.png,who,g04-104-07
e04-132-01-02.png,and,e04-132-01
g06-037e-06-07.png,been,g06-037e-06
a01-063u-05-06.png,of,a01-063u-05
b06-068-00-04.png,how,b06-068-00
a06-147-05-02.png,be,a06-147-05
e07-086-03-04.png,the,e07-086-03
a01-011u-02-02.png,members,a01-011u-02
a01-020x-03-03.png,and,a01-020x-03
c04-050-05-03.png,only,c04-050-05
g06-011k-08-01.png,by,g06-011k-08
r06-041-06-08.png,an,r06-041-06
c04-080-04-04.png,a,c04-080-04
r06-066-01-02.png,blue,r06-066-01
a05-104-08-04.png,religion,a05-104-08
b04-096-05-08.png,wins,b04-096-05
g06-050f-04-10.png,patient,g06-050f-04
a01-038x-02-07.png,were,a01-038x-02
c03-096b-07-04.png,of,c03-096b-07
c03-021d-01-06.png,is,c03-021d-01
g06-011c-04-10.png,going,g06-011c-04
a01-043-08-02.png,in,a01-043-08
a01-068u-07-07.png,regular,a01-068u-07
h04-021-04-03.png,index,h04-021-04
b05-055-01-10.png,with,b05-055-01
b06-079-09-06.png,position,b06-079-09
r06-057-03-07.png,olives,r06-057-03
r06-115-08-00.png,frowning,r06-115-08
f01-053-01-02.png,work,f01-053-01
r03-090-04-10.png,to,r03-090-04
a01-038-08-05.png,said,a01-038-08
c03-000a-06-01.png,unity,c03-000a-06
c03-096c-05-08.png,their,c03-096c-05
a05-058-06-05.png,of,a05-058-06
b01-079-07-00.png,it,b01-079-07
e02-094-01-06.png,will,e02-094-01
a02-057-03-03.png,time,a02-057-03
b06-045-05-00.png,many,b06-045-05
a01-030x-02-06.png,yesterday,a01-030x-02
a05-022-04-04.png,that,a05-022-04
c04-122-05-07.png,started,c04-122-05
c01-066-00-05.png,certainly,c01-066-00
g06-037c-04-01.png,he,g06-037c-04
e01-081-03-06.png,line,e01-081-03
c06-116-09-04.png,man,c06-116-09
e01-025-04-01.png,it,e01-025-04
a01-091-06-03.png,them,a01-091-06
a03-080-09-03.png,could,a03-080-09
f04-024-03-03.png,they,f04-024-03
g06-018i-05-02.png,rain,g06-018i-05
a03-080-07-02.png,or,a03-080-07
b01-033-04-00.png,of,b01-033-04
r06-053-02-02.png,himself,r06-053-02
a06-064-07-00.png,evidence,a06-064-07
b04-103-03-03.png,shed,b04-103-03
f04-016-02-06.png,sister,f04-016-02
a02-017-07-00.png,negotiations,a02-017-07
b06-045-07-01.png,policy,b06-045-07
a05-004-02-06.png,practical,a05-004-02
a02-082-02-00.png,charges,a02-082-02
a06-141-05-08.png,led,a06-141-05
a01-117-09-04.png,last,a01-117-09
e04-000-01-01.png,man,e04-000-01
c03-021e-01-01.png,an,c03-021e-01
b03-098-08-00.png,explain,b03-098-08
h04-021-02-03.png,more,h04-021-02
b01-049-01-06.png,abroad,b01-049-01
c03-021d-01-00.png,an,c03-021d-01
c06-052-03-07.png,of,c06-052-03
a05-073-04-09.png,was,a05-073-04
e04-103-01-00.png,to,e04-103-01
c04-075-01-07.png,he,c04-075-01
b04-116-05-03.png,now,b04-116-05
g06-026d-00-01.png,pleasant,g06-026d-00
a01-113-03-10.png,too,a01-113-03
r02-078-02-05.png,unseen,r02-078-02
f02-038-04-01.png,already,f02-038-04
c06-005-07-07.png,old,c06-005-07
g06-018i-03-06.png,this,g06-018i-03
g06-045d-05-00.png,who,g06-045d-05
e04-043-06-02.png,outboard,e04-043-06
a01-007u-07-04.png,together,a01-007u-07
f02-038-03-02.png,problems,f02-038-03
e04-000-05-02.png,be,e04-000-05
c03-007-02-01.png,has,c03-007-02
a03-017-04-06.png,neutrality,a03-017-04
e07-094-04-07.png,they,e07-094-04
b01-084-07-01.png,have,b01-084-07
a01-102u-08-04.png,of,a01-102u-08
c03-021d-05-08.png,in,c03-021d-05
g04-104-04-09.png,prisoners,g04-104-04
r06-066-00-01.png,here,r06-066-00
b05-038-07-06.png,means,b05-038-07
c03-081e-01-01.png,error,c03-081e-01
r06-090-02-04.png,stood,r06-090-02
e04-091-01-08.png,and,e04-091-01
a04-019-01-06.png,for,a04-019-01
e01-050-05-01.png,with,e01-050-05
c03-087d-03-04.png,central,c03-087d-03
c03-084d-03-05.png,play,c03-084d-03
a04-015-05-09.png,the,a04-015-05
e02-000-06-02.png,the,e02-000-06
e01-032-09-05.png,today,e01-032-09
g06-047l-06-02.png,consulted,g06-047l-06
e02-000-05-01.png,more,e02-000-05
g06-045g-02-12.png,cultivated,g06-045g-02
b05-067-04-01.png,the,b05-067-04
g06-037j-00-10.png,false,g06-037j-00
a01-014x-09-01.png,at,a01-014x-09
g06-037c-09-02.png,themselves,g06-037c-09
